ID,lat,lon
000,50.979870000000000,5.631851000000000
001,51.112180000000000,3.850430000000000
002,49.035976000000000,17.969900000000000
003,48.681550000000000,16.946331000000000
004,51.079407000000000,10.452089000000000
005,52.086560000000000,11.222350000000000
006,55.485870000000000,11.644645000000000
007,48.476357000000000,2.780096000000000
008,48.674100000000000,7.064650000000000
009,45.197754000000000,10.741966000000000
010,43.741300000000000,3.595700000000000
011,51.307610000000000,4.519840000000000
012,46.815330000000000,9.855910000000000
013,49.502075000000000,18.536882000000000
014,49.443720000000000,16.696512000000000
015,47.809180000000000,11.456168000000000
016,50.786660000000000,13.721290000000000
017,50.504930000000000,6.330963000000000
018,56.073700000000000,9.334100000000000
019,44.493652000000000,-0.956092000000000
020,43.240790000000000,5.678650000000000
021,45.956200000000000,11.281320000000000
022,46.586860000000000,11.433690000000000
023,52.166447000000000,5.743550000000000
024,60.086500000000000,17.479504000000000
025,50.311874000000000,4.968113000000000
026,46.583306000000000,9.790417000000000
027,47.210220000000000,8.410440000000000
028,47.115833000000000,8.537778000000000
029,50.961000000000000,13.512590000000000
030,50.621914000000000,6.304126000000000
031,45.041400000000000,6.410530000000000
032,45.644400000000000,2.734900000000000
033,46.414246000000000,0.140652000000000
034,48.118400000000000,-1.796350000000000
035,43.572857000000000,1.374740000000000
036,46.014680000000000,11.045831000000000
037,45.490910000000000,7.139430000000000
038,45.844440000000000,7.578055000000000
039,50.304962000000000,5.998099000000000
040,47.478333000000000,8.364389000000000
041,47.933000000000000,7.598100000000000
042,45.740482000000000,12.750297000000000
043,52.457233000000000,13.315827000000000
044,56.097630000000000,13.418970000000000
045,52.296600000000000,10.448700000000000
046,43.496437000000000,1.237878000000000
047,50.848744561658300,14.869263640162700
048,51.923116249283700,14.576366981763500
049,50.851968062696500,6.623941528663060
050,50.801418609132600,6.390952292452870
051,51.201342555213200,12.116042447894200
052,50.575537889829800,13.448324332077100
053,52.022189431614800,18.655112470135100
054,51.364312026356200,12.465482279017000
055,51.274428210938400,12.465201941463700
056,51.274515903965500,12.321900000000000
057,50.916700000000000,11.583300000000000
058,50.683889000000000,10.919444000000000
059,49.084236759602900,13.294580970372900
060,48.950331139160700,13.416153178406000
061,51.364400000000000,12.321900000000000
062,52.040990000000000,12.912540000000000
063,51.564000000000000,10.845000000000000
064,48.573400000000000,8.307200000000000
065,48.993900000000000,8.707600000000000
066,47.746900000000000,8.144900000000000
067,47.962600000000000,8.052300000000000
068,50.333000000000000,17.089000000000000
069,46.702400000000000,7.776200000000000
070,49.033900000000000,8.427700000000000
